Date,AAPL,TSLA,MSFT
2026-03-17,254.22999572753906,399.2699890136719,399.4100036621094
2026-03-18,249.94000244140625,392.7799987792969,391.7900085449219
2026-03-19,248.9600067138672,380.29998779296875,389.0199890136719
2026-03-20,247.99000549316406,367.9599914550781,381.8699951171875
2026-03-23,251.49000549316406,380.8500061035156,383.0
2026-03-24,251.63999938964844,383.0299987792969,372.739990234375
2026-03-25,252.6199951171875,385.95001220703125,371.0400085449219
2026-03-26,252.88999938964844,372.1099853515625,365.9700012207031
2026-03-27,248.8000030517578,361.8299865722656,356.7699890136719
2026-03-30,246.6300048828125,355.2799987792969,358.9599914550781
2026-03-31,253.7899932861328,371.75,370.1700134277344
2026-04-01,255.6300048828125,381.260009765625,369.3699951171875
2026-04-02,255.9199981689453,360.5899963378906,373.4599914550781
2026-04-06,258.8599853515625,352.82000732421875,372.8800048828125
2026-04-07,253.5,346.6499938964844,372.2900085449219
2026-04-08,258.8999938964844,343.25,374.3299865722656
2026-04-09,260.489990234375,345.6199951171875,373.07000732421875
2026-04-10,260.4800109863281,348.95001220703125,370.8699951171875
2026-04-13,259.20001220703125,352.4200134277344,384.3699951171875
2026-04-14,258.8299865722656,364.20001220703125,393.1099853515625
2026-04-15,266.42999267578125,391.95001220703125,411.2200012207031
2026-04-16,263.3999938964844,388.8999938964844,420.260009765625
2026-04-17,270.2300109863281,400.6199951171875,422.7900085449219
2026-04-20,273.04998779296875,392.5,418.07000732421875
2026-04-21,266.1700134277344,386.4200134277344,424.1600036621094
2026-04-22,273.1700134277344,387.510009765625,432.9200134277344
2026-04-23,273.42999267578125,373.7200012207031,415.75
2026-04-24,271.05999755859375,376.29998779296875,424.6199951171875
2026-04-27,267.6099853515625,378.6700134277344,424.82000732421875
2026-04-28,270.7099914550781,376.0199890136719,429.25
2026-04-29,270.1700134277344,372.79998779296875,424.4599914550781
2026-04-30,271.3500061035156,381.6300048828125,407.7799987792969
2026-05-01,280.1400146484375,390.82000732421875,414.44000244140625
2026-05-04,276.8299865722656,392.510009765625,413.6199951171875
2026-05-05,284.17999267578125,389.3699951171875,411.3800048828125
2026-05-06,287.510009765625,398.7300109863281,413.9599914550781
2026-05-07,287.44000244140625,411.7900085449219,420.7699890136719
2026-05-08,292.0199890136719,428.7099914550781,416.239990234375
